Doc A,Doc B,File A,File B,Similarity
Doc1,Doc5,artificial_intelligence.txt,machine_learning.txt,0.5492
Doc3,Doc7,climate_change.txt,renewable_energy.txt,0.3078
Doc1,Doc7,artificial_intelligence.txt,renewable_energy.txt,0.1642
Doc1,Doc3,artificial_intelligence.txt,climate_change.txt,0.1538
Doc1,Doc8,artificial_intelligence.txt,space_exploration.txt,0.1317
Doc1,Doc6,artificial_intelligence.txt,quantum_computing.txt,0.1256
Doc1,Doc4,artificial_intelligence.txt,crispr_gene_editing.txt,0.1107
Doc1,Doc2,artificial_intelligence.txt,blockchain.txt,0.1099
Doc5,Doc6,machine_learning.txt,quantum_computing.txt,0.1064
Doc7,Doc8,renewable_energy.txt,space_exploration.txt,0.1029
Doc3,Doc8,climate_change.txt,space_exploration.txt,0.0908
Doc5,Doc8,machine_learning.txt,space_exploration.txt,0.0673
Doc3,Doc5,climate_change.txt,machine_learning.txt,0.0608
Doc4,Doc5,crispr_gene_editing.txt,machine_learning.txt,0.06
Doc2,Doc5,blockchain.txt,machine_learning.txt,0.0597
Doc2,Doc7,blockchain.txt,renewable_energy.txt,0.058
Doc5,Doc7,machine_learning.txt,renewable_energy.txt,0.0574
Doc4,Doc7,crispr_gene_editing.txt,renewable_energy.txt,0.0526
Doc3,Doc4,climate_change.txt,crispr_gene_editing.txt,0.0522
Doc2,Doc3,blockchain.txt,climate_change.txt,0.0475
Doc4,Doc8,crispr_gene_editing.txt,space_exploration.txt,0.0457
Doc2,Doc4,blockchain.txt,crispr_gene_editing.txt,0.0359
Doc2,Doc8,blockchain.txt,space_exploration.txt,0.0357
Doc6,Doc7,quantum_computing.txt,renewable_energy.txt,0.0343
Doc2,Doc6,blockchain.txt,quantum_computing.txt,0.032
Doc3,Doc6,climate_change.txt,quantum_computing.txt,0.0297
Doc6,Doc8,quantum_computing.txt,space_exploration.txt,0.029
Doc4,Doc6,crispr_gene_editing.txt,quantum_computing.txt,0.0287
